Date,tmax,tmin,prcp
18-12-2007,35,19,0
19-12-2007,34,21,0
20-12-2007,38,22,0
21-12-2007,37,35,0
22-12-2007,43,36,0.06
23-12-2007,48,13,0.15
24-12-2007,23,18,0
25-12-2007,39,18,0
26-12-2007,43,25,0.01
27-12-2007,36,25,0.08
28-12-2007,34,28,0.39
29-12-2007,30,22,0
30-12-2007,31,22,0.01
31-12-2007,31,15,0
01-01-2008,24,6,0.01
02-01-2008,20,5,0
03-01-2008,22,3,0
04-01-2008,35,21,0
05-01-2008,41,35,0
06-01-2008,52,39,0
07-01-2008,63,38,0.5
08-01-2008,53,36,0.29
09-01-2008,40,31,0
10-01-2008,41,33,0.37
11-01-2008,35,29,0.01
12-01-2008,38,28,0.01
13-01-2008,37,26,0.03
14-01-2008,26,16,0
15-01-2008,26,14,0
16-01-2008,40,21,0
17-01-2008,35,9,0.03
18-01-2008,21,6,0
19-01-2008,6,-5,0
20-01-2008,8,-6,0
21-01-2008,20,5,0.27
22-01-2008,20,7,0.08
23-01-2008,12,3,0.02
24-01-2008,10,-4,0
25-01-2008,18,-1,0.03
26-01-2008,28,18,0.04
27-01-2008,31,13,0
28-01-2008,45,25,0
29-01-2008,46,4,0.18
30-01-2008,9,-4,0
31-01-2008,29,6,0.2
01-02-2008,31,26,0.15
02-02-2008,28,26,0
03-02-2008,32,26,0.06
04-02-2008,36,32,0.33
05-02-2008,35,33,0.17
06-02-2008,33,25,0.76
07-02-2008,28,22,0
08-02-2008,35,22,0.09
09-02-2008,35,13,0.04
10-02-2008,13,-5,0
11-02-2008,12,-4,0
12-02-2008,21,12,0.2
13-02-2008,23,8,0
14-02-2008,28,14,0.04
15-02-2008,21,10,0
16-02-2008,32,6,0
17-02-2008,43,29,1.18
18-02-2008,32,7,0.02
19-02-2008,13,3,0
20-02-2008,17,2,0
21-02-2008,24,1,0
22-02-2008,25,17,0
23-02-2008,32,13,0
24-02-2008,34,14,0
25-02-2008,35,30,0.06
26-02-2008,33,22,0.03
27-02-2008,24,19,0
28-02-2008,25,12,0.01
29-02-2008,38,24,0.18
01-03-2008,32,20,0
02-03-2008,52,32,0
03-03-2008,49,21,0.39
04-03-2008,28,19,0
05-03-2008,33,21,0
06-03-2008,31,21,0
07-03-2008,21,13,0
08-03-2008,24,13,0.08
09-03-2008,27,17,0.01
10-03-2008,31,22,0
11-03-2008,42,22,0
12-03-2008,37,28,0
13-03-2008,52,35,0
14-03-2008,51,33,0
15-03-2008,36,29,0
16-03-2008,34,23,0
17-03-2008,35,29,0.1
18-03-2008,42,34,0.14
19-03-2008,47,36,0
20-03-2008,38,28,0
21-03-2008,33,28,0.97
22-03-2008,35,28,0.07
23-03-2008,40,22,0
24-03-2008,36,19,0
25-03-2008,52,36,0
26-03-2008,50,32,0
27-03-2008,45,30,0.16
28-03-2008,35,26,0
29-03-2008,39,22,0
30-03-2008,41,35,0
31-03-2008,58,36,1.19
01-04-2008,44,30,0
02-04-2008,49,25,0
03-04-2008,46,31,0.26
04-04-2008,51,38,0.02
05-04-2008,64,40,0
06-04-2008,56,40,0
07-04-2008,53,41,0
08-04-2008,42,37,0.84
09-04-2008,48,37,0
10-04-2008,42,37,1.66
11-04-2008,58,40,0.06
12-04-2008,41,33,0.07
13-04-2008,39,34,0
14-04-2008,46,31,0
15-04-2008,59,34,0
16-04-2008,75,45,0
17-04-2008,62,42,0
18-04-2008,50,41,0
19-04-2008,57,43,0
20-04-2008,63,42,0
21-04-2008,63,40,0
22-04-2008,70,48,0
23-04-2008,68,47,0
24-04-2008,63,50,0.31
25-04-2008,78,45,1.2
26-04-2008,55,38,0
27-04-2008,50,38,0
28-04-2008,44,35,0
29-04-2008,42,33,0
30-04-2008,50,31,0
01-05-2008,59,43,0
02-05-2008,70,45,0.45
03-05-2008,55,46,0.07
04-05-2008,63,38,0
05-05-2008,76,48,0
06-05-2008,73,44,0
07-05-2008,70,43,0.05
08-05-2008,58,41,0
09-05-2008,56,41,0
10-05-2008,54,38,0
11-05-2008,58,45,0.25
12-05-2008,49,40,0
13-05-2008,68,40,0
14-05-2008,62,44,0
15-05-2008,58,41,0
16-05-2008,72,42,0
17-05-2008,71,52,0.01
18-05-2008,56,42,0
19-05-2008,55,38,0
20-05-2008,65,42,0.05
21-05-2008,66,42,0
22-05-2008,54,41,0
23-05-2008,53,43,0
24-05-2008,61,44,0
25-05-2008,77,42,0.58
26-05-2008,81,41,0.06
27-05-2008,47,40,0
28-05-2008,57,40,0
29-05-2008,64,43,0.01
30-05-2008,77,49,1.39
31-05-2008,77,53,0
01-06-2008,66,50,0
02-06-2008,80,53,0
03-06-2008,56,50,0
04-06-2008,55,50,0.02
05-06-2008,72,52,1.85
06-06-2008,86,60,0.07
07-06-2008,86,64,4.93
08-06-2008,76,61,2.25
09-06-2008,73,63,0.09
10-06-2008,78,60,0.09
11-06-2008,66,51,0
12-06-2008,78,61,0.94
13-06-2008,77,65,0.47
14-06-2008,83,59,0.25
15-06-2008,80,59,0
16-06-2008,68,58,0
17-06-2008,75,55,0
18-06-2008,70,52,0
19-06-2008,79,52,0
20-06-2008,83,60,0.09
21-06-2008,80,61,0
22-06-2008,74,58,0.36
23-06-2008,70,54,0
24-06-2008,80,58,0
25-06-2008,81,63,0
26-06-2008,86,70,0
27-06-2008,82,68,0.34
28-06-2008,79,61,0.24
29-06-2008,73,59,0.28
30-06-2008,72,60,0
01-07-2008,81,59,0
02-07-2008,82,58,0.3
03-07-2008,64,55,0
04-07-2008,71,50,0
05-07-2008,74,52,0
06-07-2008,83,57,0
07-07-2008,86,69,1.29
08-07-2008,82,68,0.51
09-07-2008,80,64,0
10-07-2008,82,64,0.09
11-07-2008,78,64,0.31
12-07-2008,79,63,0.36
13-07-2008,79,61,0
14-07-2008,80,62,0
15-07-2008,88,63,0
16-07-2008,88,63,0.03
17-07-2008,88,67,0
18-07-2008,84,73,0
19-07-2008,77,65,0.22
20-07-2008,87,64,0.09
21-07-2008,75,62,0
22-07-2008,72,60,0
23-07-2008,76,59,0
24-07-2008,81,58,0
25-07-2008,80,61,0
26-07-2008,81,67,0
27-07-2008,84,64,0
28-07-2008,72,63,0
29-07-2008,84,61,0
30-07-2008,88,72,0
31-07-2008,81,67,0
01-08-2008,84,67,0
02-08-2008,76,63,0
03-08-2008,78,60,0
04-08-2008,85,68,0.68
05-08-2008,88,70,0
06-08-2008,81,67,0
07-08-2008,78,63,0
08-08-2008,76,62,0
09-08-2008,80,60,0
10-08-2008,71,54,0
11-08-2008,72,58,0
12-08-2008,75,56,0
13-08-2008,75,63,0.18
14-08-2008,74,61,0
15-08-2008,75,61,0
16-08-2008,82,59,0
17-08-2008,87,65,0
18-08-2008,86,68,0
19-08-2008,73,66,0
20-08-2008,76,66,0
21-08-2008,77,67,0.01
22-08-2008,86,71,0.01
23-08-2008,86,68,0
24-08-2008,73,60,0
25-08-2008,70,63,0
26-08-2008,71,62,0
27-08-2008,76,58,0
28-08-2008,85,62,0
29-08-2008,81,62,0
30-08-2008,87,57,0
31-08-2008,85,64,0
01-09-2008,87,61,0
02-09-2008,89,64,0
03-09-2008,77,63,0.05
04-09-2008,65,58,1.96
05-09-2008,71,59,0
06-09-2008,72,59,0
07-09-2008,75,57,0
08-09-2008,62,53,0.22
09-09-2008,67,50,0
10-09-2008,69,47,0
11-09-2008,77,61,0
12-09-2008,77,65,0.09
13-09-2008,77,66,0.93
14-09-2008,73,58,0.79
15-09-2008,62,51,0
16-09-2008,73,49,0
17-09-2008,74,56,0
18-09-2008,68,53,0
19-09-2008,79,57,0
20-09-2008,82,58,0
21-09-2008,70,61,0
22-09-2008,71,59,0
23-09-2008,76,62,0
24-09-2008,79,63,0
25-09-2008,73,57,0
26-09-2008,76,56,0
27-09-2008,82,54,0
28-09-2008,66,57,0
29-09-2008,63,54,0.12
30-09-2008,61,49,0
01-10-2008,57,46,0
02-10-2008,61,44,0.02
03-10-2008,55,40,0
04-10-2008,59,38,0
05-10-2008,59,40,0.65
06-10-2008,64,55,0
07-10-2008,62,57,0.63
08-10-2008,65,55,0.12
09-10-2008,68,50,0
10-10-2008,65,42,0
11-10-2008,72,55,0
12-10-2008,78,55,0
13-10-2008,76,62,0
14-10-2008,69,50,0
15-10-2008,57,46,0.28
16-10-2008,55,42,0
17-10-2008,53,42,0
18-10-2008,57,45,0.07
19-10-2008,62,45,0
20-10-2008,56,44,0.2
21-10-2008,52,37,0
22-10-2008,51,44,0
23-10-2008,57,46,0.05
24-10-2008,54,44,0.41
25-10-2008,52,42,0.17
26-10-2008,54,38,0.02
27-10-2008,45,35,0
28-10-2008,45,33,0
29-10-2008,49,32,0
30-10-2008,62,35,0
31-10-2008,71,49,0
01-11-2008,52,44,0
02-11-2008,61,45,0.03
03-11-2008,73,57,0
04-11-2008,73,54,0
05-11-2008,70,49,0
06-11-2008,61,48,0.26
07-11-2008,49,36,0
08-11-2008,42,35,0.04
09-11-2008,38,29,0.02
10-11-2008,37,27,0
11-11-2008,41,23,0.29
12-11-2008,47,41,0.05
13-11-2008,57,45,0.17
14-11-2008,51,42,0.12
15-11-2008,42,33,0
16-11-2008,37,31,0
17-11-2008,36,24,0
18-11-2008,34,20,0
19-11-2008,43,30,0
20-11-2008,34,21,0
21-11-2008,28,17,0
22-11-2008,33,15,0
23-11-2008,42,23,0
24-11-2008,39,31,0.2
25-11-2008,37,27,0
26-11-2008,39,24,0
27-11-2008,42,18,0
28-11-2008,41,24,0
29-11-2008,44,18,0
30-11-2008,39,33,0.29
01-12-2008,33,22,0.25
02-12-2008,35,16,0
03-12-2008,35,18,0.14
04-12-2008,21,12,0
05-12-2008,21,6,0.01
06-12-2008,29,12,0.11
07-12-2008,20,5,0
08-12-2008,35,20,0.22
09-12-2008,36,20,0.51
10-12-2008,25,13,0
11-12-2008,31,18,0
12-12-2008,18,7,0
13-12-2008,39,16,0.07
14-12-2008,51,29,0.21
15-12-2008,29,4,0
16-12-2008,26,2,0.21
17-12-2008,25,11,0
18-12-2008,24,10,0
19-12-2008,32,24,0.74
20-12-2008,29,22,0.11
21-12-2008,23,-5,0
22-12-2008,6,-1,0
23-12-2008,30,2,0.15
24-12-2008,36,9,0.14
25-12-2008,28,0,0
26-12-2008,51,28,0.04
27-12-2008,53,38,1.04
28-12-2008,38,24,0.02
29-12-2008,41,26,0
30-12-2008,34,20,0.03
31-12-2008,20,7,0
01-01-2009,30,12,0
02-01-2009,28,14,0
03-01-2009,35,14,0.01
04-01-2009,35,14,0.21
05-01-2009,29,10,0
06-01-2009,34,13,0.11
07-01-2009,31,17,0.1
08-01-2009,21,14,0
09-01-2009,30,13,0.29
10-01-2009,28,19,0.02
11-01-2009,23,12,0
12-01-2009,24,5,0.1
13-01-2009,22,0,0.01
14-01-2009,11,-1,0.07
15-01-2009,0,-10,0
16-01-2009,5,-12,0
17-01-2009,22,-2,0.04
18-01-2009,19,8,0
19-01-2009,24,13,0
20-01-2009,24,13,0
21-01-2009,27,16,0
22-01-2009,28,15,0
23-01-2009,29,12,0
24-01-2009,12,1,0
25-01-2009,15,1,0
26-01-2009,16,4,0
27-01-2009,19,4,0
28-01-2009,20,10,0.01
29-01-2009,28,12,0
30-01-2009,15,6,0
31-01-2009,40,6,0
01-02-2009,39,28,0
02-02-2009,28,9,0
03-02-2009,20,4,0.01
04-02-2009,18,3,0
05-02-2009,28,3,0
06-02-2009,37,12,0
07-02-2009,53,37,0
08-02-2009,40,27,0
09-02-2009,45,27,0.19
10-02-2009,59,40,0
11-02-2009,45,36,0.43
12-02-2009,38,31,0
13-02-2009,36,26,0.09
14-02-2009,33,22,0.03
15-02-2009,30,17,0
16-02-2009,33,15,0
17-02-2009,43,28,0.01
18-02-2009,36,14,0.07
19-02-2009,22,9,0
20-02-2009,27,11,0
21-02-2009,31,22,0.33
22-02-2009,24,15,0
23-02-2009,24,10,0
24-02-2009,36,11,0
25-02-2009,47,30,0.03
26-02-2009,40,29,1.08
27-02-2009,31,19,0.02
28-02-2009,24,17,0
01-03-2009,21,12,0
02-03-2009,22,12,0.31
03-03-2009,27,9,0
04-03-2009,37,23,0
05-03-2009,61,34,0
06-03-2009,58,32,0
07-03-2009,41,30,0.71
08-03-2009,36,32,0.79
09-03-2009,39,29,0.16
10-03-2009,59,33,0.55
11-03-2009,33,16,0
12-03-2009,22,10,0
13-03-2009,39,18,0
14-03-2009,51,26,0
15-03-2009,53,25,0
16-03-2009,58,32,0
17-03-2009,75,38,0
18-03-2009,57,41,0
19-03-2009,43,26,0
20-03-2009,34,24,0
21-03-2009,61,34,0
22-03-2009,45,35,0
23-03-2009,44,35,0
24-03-2009,53,39,0.3
25-03-2009,47,38,0
26-03-2009,56,35,0
27-03-2009,42,29,0
28-03-2009,34,30,0.27
29-03-2009,42,30,0.2
30-03-2009,36,24,0
31-03-2009,44,36,0.39
01-04-2009,51,36,0
02-04-2009,45,33,0.02
03-04-2009,49,34,0.07
04-04-2009,49,33,0
05-04-2009,39,33,0
06-04-2009,41,32,0
07-04-2009,50,30,0
08-04-2009,55,34,0
09-04-2009,55,36,0
10-04-2009,42,35,0
11-04-2009,45,34,0
12-04-2009,44,32,0
13-04-2009,42,37,0.05
14-04-2009,45,34,0.1
15-04-2009,54,36,0
16-04-2009,56,34,0
17-04-2009,68,33,0
18-04-2009,74,44,0.04
19-04-2009,45,40,0.8
20-04-2009,46,37,0.24
21-04-2009,43,35,0.14
22-04-2009,60,30,0
23-04-2009,57,34,0
24-04-2009,84,44,0
25-04-2009,72,40,0.86
26-04-2009,66,39,1.62
27-04-2009,71,47,0.14
28-04-2009,49,40,0
29-04-2009,53,42,0
30-04-2009,63,45,0.42
01-05-2009,60,49,0
02-05-2009,65,45,0
03-05-2009,70,45,0
04-05-2009,64,42,0
05-05-2009,64,47,0
06-05-2009,73,51,0.06
07-05-2009,76,56,0.16
08-05-2009,77,53,0.47
09-05-2009,56,45,0.11
10-05-2009,60,38,0
11-05-2009,59,38,0
12-05-2009,65,44,0
13-05-2009,69,52,1.21
14-05-2009,68,54,0
15-05-2009,62,48,0
16-05-2009,59,46,0
17-05-2009,60,42,0
18-05-2009,67,43,0
19-05-2009,82,52,0
20-05-2009,84,62,0
21-05-2009,85,53,0
22-05-2009,61,48,0
23-05-2009,74,51,0.04
24-05-2009,63,48,0
25-05-2009,61,48,0
26-05-2009,56,46,0.16
27-05-2009,56,46,0.35
28-05-2009,65,53,0
29-05-2009,67,51,0
30-05-2009,76,48,0
31-05-2009,59,42,0
01-06-2009,81,45,0.12
02-06-2009,57,45,0
03-06-2009,57,44,0
04-06-2009,66,40,0
05-06-2009,80,51,0
06-06-2009,57,46,0.01
07-06-2009,57,46,0
08-06-2009,72,48,1.29
09-06-2009,65,53,0
10-06-2009,61,51,0
11-06-2009,62,52,0
12-06-2009,69,50,0
13-06-2009,69,54,0.05
14-06-2009,77,52,0
15-06-2009,78,57,0
16-06-2009,72,54,0.08
17-06-2009,73,56,0.03
18-06-2009,81,59,1.51
19-06-2009,82,65,2.25
20-06-2009,87,69,0.05
21-06-2009,77,64,0
22-06-2009,81,63,0
23-06-2009,89,66,0
24-06-2009,94,77,0
25-06-2009,87,73,0
26-06-2009,78,63,0
27-06-2009,80,61,0.01
28-06-2009,81,68,0
29-06-2009,74,63,0.04
30-06-2009,67,59,0
01-07-2009,64,54,0.08
02-07-2009,71,56,0
03-07-2009,76,62,0
04-07-2009,74,60,0
05-07-2009,81,57,0
06-07-2009,83,60,0
07-07-2009,72,57,0
08-07-2009,67,57,0
09-07-2009,77,54,0
10-07-2009,86,63,0
11-07-2009,83,66,0.1
12-07-2009,80,58,0
13-07-2009,76,59,0
14-07-2009,80,61,0
15-07-2009,86,66,0.48
16-07-2009,79,63,0
17-07-2009,66,57,0
18-07-2009,70,56,0
19-07-2009,70,59,0
20-07-2009,73,56,0
21-07-2009,78,61,0
22-07-2009,74,61,0
23-07-2009,76,58,0.02
24-07-2009,80,64,0
25-07-2009,81,65,0
26-07-2009,81,63,0
27-07-2009,86,66,0.01
28-07-2009,83,66,0
29-07-2009,79,61,0
30-07-2009,75,61,0.02
31-07-2009,81,58,0
01-08-2009,78,62,0
02-08-2009,79,58,0
03-08-2009,88,68,0
04-08-2009,82,59,0
05-08-2009,76,57,0
06-08-2009,78,58,0
07-08-2009,75,60,0.41
08-08-2009,87,67,0.82
09-08-2009,90,71,0.94
10-08-2009,84,68,0.01
11-08-2009,74,60,0
12-08-2009,78,59,0
13-08-2009,83,63,0
14-08-2009,87,67,0
15-08-2009,86,68,0
16-08-2009,86,69,0.01
17-08-2009,80,71,0.13
18-08-2009,79,65,0
19-08-2009,76,58,0.06
20-08-2009,77,64,0.31
21-08-2009,70,59,0.35
22-08-2009,65,56,0
23-08-2009,67,53,0
24-08-2009,78,58,0
25-08-2009,82,61,0.5
26-08-2009,70,60,0.2
27-08-2009,64,59,0.19
28-08-2009,67,58,0.06
29-08-2009,64,55,0.05
30-08-2009,62,48,0
31-08-2009,67,46,0
01-09-2009,68,47,0
02-09-2009,68,49,0
03-09-2009,70,51,0
04-09-2009,72,49,0
05-09-2009,72,51,0
06-09-2009,76,60,0
07-09-2009,74,59,0
08-09-2009,75,57,0
09-09-2009,75,63,0
10-09-2009,76,62,0
11-09-2009,76,60,0
12-09-2009,75,59,0
13-09-2009,81,55,0
14-09-2009,85,65,0
15-09-2009,76,64,0
16-09-2009,68,61,0
17-09-2009,69,57,0
18-09-2009,72,56,0
19-09-2009,71,55,0
